gender,age,sibsp,parch,fare,embarked,class,who,alone,survived
0,25,0,0,7.65,S,Third,man,TRUE,0
,,0,0,7.8958,S,Third,man,TRUE,0
0,,0,0,8.05,S,Third,man,TRUE,0
0,0.83,0,2,29,S,Second,child,FALSE,1
1,30,0,0,12.475,S,Third,woman,TRUE,1
0,22,0,0,9,S,Third,man,TRUE,0
0,29,0,0,9.5,S,Third,man,TRUE,1
1,,0,0,7.7875,Q,Third,woman,TRUE,1
0,28,0,0,47.1,S,First,man,TRUE,0
1,17,0,0,10.5,S,Second,woman,TRUE,1
1,33,3,0,15.85,S,Third,woman,FALSE,1
0,16,1,3,34.375,S,Third,man,FALSE,0
0,,0,0,8.05,S,Third,man,TRUE,0
1,23,3,2,263,S,First,woman,FALSE,1
0,24,0,0,8.05,S,Third,man,TRUE,0
0,29,0,0,8.05,S,Third,man,TRUE,0
0,20,0,0,7.8542,S,Third,man,TRUE,0
0,46,1,0,61.175,S,First,man,FALSE,0
0,26,1,2,20.575,S,Third,man,FALSE,0
0,59,0,0,7.25,S,Third,man,TRUE,0
0,,0,0,8.05,S,Third,man,TRUE,0
0,71,0,0,34.6542,C,First,man,TRUE,0
,23,0,1,63.3583,C,First,man,FALSE,1
1,34,0,1,23,S,Second,woman,FALSE,1
0,34,1,0,26,S,Second,man,FALSE,0
1,28,0,0,7.8958,S,Third,woman,TRUE,0
0,,0,0,7.8958,S,Third,man,TRUE,0
0,21,0,1,77.2875,S,First,man,FALSE,0
0,33,0,0,8.6542,S,Third,man,TRUE,0
0,37,2,0,7.925,S,Third,man,FALSE,0
0,28,0,0,7.8958,S,Third,man,TRUE,0
1,21,0,0,7.65,S,Third,woman,TRUE,1
0,,0,0,7.775,S,Third,man,TRUE,1
,38,0,0,7.8958,S,Third,man,TRUE,0
1,,1,0,24.15,Q,Third,woman,FALSE,1
0,47,0,0,52,S,First,man,TRUE,0
1,14.5,1,0,14.4542,C,Third,child,FALSE,0
0,22,0,0,8.05,S,Third,man,TRUE,0
1,20,1,0,9.825,S,Third,woman,FALL,0
1,17,0,0,14.4583,C,Third,woman,TRUE,0
0,21,0,0,7.925,S,Third,man,TRUE,0
0,70.5,0,0,7.75,Q,,man,TRUE,0
0,29,1,0,21,S,Second,man,FALSE,0
0,24,0,1,247.5208,C,First,man,FALSE,0
1,2,4,2,31.275,S,Third,child,FALSE,0
0,21,2,0,73.5,S,Second,man,FALSE,0
0,,0,0,8.05,S,Third,man,TRUE,0
0,32.5,1,0,30.0708,C,Second,man,FALSE,0
1,325,0,0,13,S,Second,woman,TRUE,1
0,54,0,1,77.2875,S,First,man,FALSE,0
0,12,1,0,11.2417,C,Third,child,FALSE,1
0,,0,0,7.75,Q,Third,man,TRUE,0
0,24,0,0,7.1417,S,Third,man,TRUE,1
1,,1,1,22.3583,C,Third,woman,FALSE,1
0,45,0,0,6.975,S,Third,man,TRUE,0
0,33,0,0,7.8958,C,Third,man,TRUE,0
0,20,0,0,7.05,S,Third,man,TRUE,0
1,47,1,0,14.5,S,Third,woman,FALSE,0
1,29,1,0,26,S,Second,woman,FALSE,1
,25,0,0,13,S,Second,man,TRUE,0
0,23,0,0,15.0458,C,Second,man,TRUE,0
1,19,0,2,26.2833,S,First,woman,FALSE,1
0,37,1,0,53.1,S,First,man,FALSE,0
0,16,0,0,9.2167,S,Third,man,TRUE,0
0,24,0,0,79.2,C,First,man,TRUE,0
1,,0,2,15.2458,C,Third,woman,FALSE,0
1,22,0,0,7.75,S,Third,woman,TRUE,1
1,24,1,0,15.85,S,Third,woman,FALSE,1
0,19,0,0,6.75,Q,Third,man,TRUE,0
0,18,0,0,11.5,S,Second,man,TRUE,0
0,19,1,1,36.75,S,Second,man,FALSE,0
0,27,0,0,7.7958,S,Third,man,TRUE,1
1,9,2,2,34.375,S,Third,child,FALSE,0
0,365,0,2,26,S,Second,man,FALSE,0
0,42,0,0,13,S,Second,man,TRUE,0
0,51,0,0,12.525,S,Second,man,TRUE,0
1,22,1,0,66.6,S,First,woman,FALSE,1
0,55.5,0,0,8.05,S,Third,man,TRUE,0
0,40.5,0,2,14.5,S,Third,man,FALSE,0
0,,0,0,7.3125,S,Third,man,TRUE,0
0,51,0,1,61.3792,C,First,man,FALSE,0
1,16,0,0,7.7333,Q,Third,woman,TRUE,1
0,30,0,0,8.05,S,Third,man,TRUE,0
0,,0,0,8.6625,S,Third,man,TRUE,0
0,,8,2,69.55,S,Third,man,FALSE,0
0,44,0,1,16.1,S,Third,man,FALSE,0
1,40,0,0,15.75,S,Second,woman,TRUE,1
0,26,0,0,7.775,S,Third,man,TRUE,0
0,17,0,0,8.6625,S,Third,man,TRUE,0
0,1,4,1,39.6875,S,Third,child,FALSE,0
0,9,0,2,20.525,S,Third,child,FALSE,1
1,,0,1,55,S,First,woman,FALSE,1
1,45,1,4,27.9,S,Third,woman,FALSE,0
0,,0,0,25.925,S,First,man,TRUE,0
0,28,0,0,56.4958,S,Third,man,TRUE,0
0,61,0,0,33.5,S,First,man,TRUE,0
0,4,4,1,29.125,Q,Third,child,FALSE,0
1,1,1,1,11.1333,S,Third,child,FALSE,1
0,21,0,0,7.925,S,Third,man,TRUE,0
0,56,0,0,30.6958,C,First,man,TRUE,0
0,18,1,1,7.8542,S,Third,man,FALSE,0
,,3,1,25.4667,S,Third,man,FALSE,0
1,50,0,0,28.7125,C,First,woman,TRUE,0
0,30,0,0,13,S,Second,man,TRUE,0
0,36,0,0,0,S,Third,man,TRUE,0
1,,8,2,69.55,S,Third,woman,FALSE,0
0,,0,0,15.05,C,Second,man,TRUE,0
0,9,4,2,31.3875,S,Third,child,FALSE,0
0,1,2,1,39,S,Second,child,FALSE,1
1,4,0,2,22.025,S,Third,child,FALSE,1
0,,0,0,50,S,First,man,TRUE,0
1,,1,0,15.5,Q,Third,woman,FALSE,1
0,45,0,0,26.55,S,First,man,TRUE,1
0,40,1,1,15.5,Q,Third,man,FALSE,0
0,36,0,0,7.8958,S,Third,man,TRUE,0
1,32,0,0,13,S,Second,woman,TRUE,1
0,19,0,0,13,S,Second,man,TRUE,0
1,19,1,0,7.8542,S,,woman,FALSE,1
,3,1,1,26,S,Second,child,FALSE,1
1,44,0,0,27.7208,C,First,woman,TRUE,1
1,58,0,0,146.5208,C,First,woman,TRUE,1
0,,0,0,7.75,Q,Third,man,TRUE,0
0,42,0,1,8.4042,S,Third,man,FALSE,0
1,,0,0,7.75,Q,Third,woman,TRUE,1
1,24,0,0,13,S,Second,woman,TRUE,0
0,28,0,0,9.5,S,Third,man,TRUE,0
0,,8,2,69.55,S,Third,man,FALSE,0
0,34,0,0,6.4958,S,Third,man,TRUE,0
0,455,0,0,7.225,C,Third,man,TRUE,0
0,18,0,0,8.05,S,Third,man,TRUE,1
1,2,0,1,10.4625,S,Third,child,FALSE,0
0,32,1,0,15.85,S,Third,man,FALSE,0
0,26,0,0,18.7875,C,Third,man,TRUE,1
1,16,0,0,7.75,Q,Third,woman,TRUE,1
,40,0,0,31,C,First,man,TRUE,1
0,24,0,0,7.05,S,Third,man,TRUE,0
1,35,0,0,21,S,Second,woman,TRUE,1
0,22,0,0,7.25,S,Third,man,TRUE,0
,30,0,0,13,S,Second,man,TRUE,0
0,,1,0,7.75,Q,Third,man,FALSE,0
1,31,1,0,113.275,C,First,woman,FALSE,1
1,27,0,0,7.925,S,Third,woman,TRUE,1
0,42,1,0,27,S,Second,man,FALSE,0
1,32,0,0,76.2917,C,First,woman,TRUE,1
0,30,0,0,10.5,S,Second,man,TRUE,0
0,16,0,0,8.05,S,Third,man,TRUE,1
0,27,0,0,13,S,Second,man,TRUE,0
0,51,0,0,8.05,S,Third,man,TRUE,0
0,,0,0,7.8958,S,Third,man,TRUE,0
0,38,1,0,90,S,First,man,FALSE,1
0,22,0,0,9.35,S,Third,man,TRUE,0
0,19,0,0,10.5,S,Second,man,TRUE,1
0,20.5,0,0,7.25,S,Third,man,TRUE,0
0,18,0,0,13,S,Second,man,TRUE,0
1,,3,1,25.4667,S,,woman,FALSE,0
1,35,1,0,83.475,S,First,woman,FALSE,1
0,29,0,0,7.775,S,Third,man,TRUE,0
0,59,0,0,13.5,S,Second,man,TRUE,0
1,5,4,2,31.3875,S,Third,child,FALSE,1
0,24,0,0,10.5,S,Second,man,TRUE,0
1,,0,0,7.55,S,Third,woman,TRUE,0
0,44,1,0,26,S,Second,man,FALSE,0
1,8,0,2,26.25,S,Second,child,FALSE,1
0,19,0,0,10.5,S,Second,man,TRUE,0
0,33,0,0,12.275,S,Second,man,TRUE,0
1,,1,0,14.4542,C,Third,woman,FALSE,0
1,,1,0,15.5,Q,Third,woman,FALSE,1
0,29,0,0,10.5,S,Second,man,TRUE,0
0,22,0,0,7.125,S,Third,man,TRUE,0
0,30,0,0,7.225,C,Third,man,TRUE,0
,44,2,0,90,Q,First,man,FALSE,0
1,25,0,0,7.775,S,Third,woman,TRUE,0
1,24,0,2,14.5,S,Second,woman,FALSE,1
0,37,1,1,52.5542,S,First,man,FALSE,1
0,54,1,0,26,S,Second,man,FALSE,0
